Food items,Units,Units,Remarks,Source,,,,,,,,,
"Hazelnut, chopped",1cup,115g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170581/measures,,,,,,,,,
Cashewnut,1cup,137g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
Almond,1cup,143g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170567/measures,,,,,,,,,
"Nuts, pistachio nuts, raw",1cup,123g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170184/measures,,,,,,,,,
"Peanuts, all types, raw",1cup,146g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172430/measures,,,,,,,,,
Mixed nuts,1cup,144g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
Dates,1cup,147g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
"Vinegar, distilled",1cup,238g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172237/measures,,,,,,,,,
"Vinegar, balsamic",1cup,255g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172241/measures,,,,,,,,,
Tomato sauce,1cup,245g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169074/measures,,,,,,,,,
"Pickles, cucumber, sour",1cup,155g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169379/measures,,,,,,,,,
